Rating.Agency_Egan-Jones Ratings Company,Rating.Agency_Fitch Ratings,Rating.Agency_Moody's Investors Service,Rating.Agency_Standard & Poor's Ratings Services,Rating,Binary.Rating,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils,Current.Ratio,Long.term.Debt...Capital,Debt.Equity.Ratio,Gross.Margin,Net.Profit.Margin,Asset.Turnover,ROE...Return.On.Equity,Return.On.Tangible.Equity,ROA...Return.On.Assets,ROI...Return.On.Investment,Operating.Cash.Flow.Per.Share,Free.Cash.Flow.Per.Share
0,0,0,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0.928,0.4441,1.1921,24.2258,-14.3978,1.0367,-61.2506,-557.8882,-16.6827,-34.0472,5.4923,4.5241
0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1.8374,0.239,0.3739,11.7124,2.5215,2.6787,16.4955,21.0996,6.7545,12.5539,2.0005,1.4642
0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6862,0.3636,0.6047,74.4855,9.7998,0.4661,13.5765,35.0689,5.4424,7.3117,5.562,2.3118
0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6862,0.3636,0.6047,74.4855,9.7998,0.4661,13.5765,35.0689,5.4424,7.3117,5.562,2.3118
0,0,0,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,2.7738,0.1992,0.2719,22.4088,5.6334,0.6271,5.7329,11.9597,3.563,4.5908,-1.8168,-2.0971
0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6668,0.6197,1.6961,18.0328,6.1337,1.1014,33.0861,-59.9105,7.9189,12.5834,-0.0696,-0.3356
0,0,0,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,2.7475,0.2799,0.3922,53.208,-52.532,0.3022,-27.7073,-42.4528,-16.2123,-19.9516,-2.5714,-5.1639
0,0,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0,34.0768,0.7531,3.051,8.4376,-3.4353,0.5209,-7.4465,-7.4465,-1.5539,-1.8382,-6.2994,-6.2974
0,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4051,0.4633,0.8632,28.9519,7.0273,0.9098,9.5966,35.5968,3.6119,5.1507,-0.9236,-0.6908
0,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,2.9632,0.3218,0.6259,56.6384,9.6253,0.6292,12.1346,19.219,6.1035,8.2292,-3.6566,-4.3562
0,0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,2.4192,0.1637,0.2209,91.5135,21.3143,0.5828,16.4893,35.5125,11.1038,13.7906,2.6613,2.5546
0,0,0,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,1.4795,0.3129,0.511,19.3409,6.6763,1.0176,17.153,33.1188,7.1323,11.7857,0.5787,0.2468
